TAXON	12S.5June	ALDOB_Hackettetal2008	CLTC_Hackettetal2008	CMOS.26May	COI.26May	COII.Cl181.Final_18May2011	CRYAA_Hackettetal2008	CytB.Cl1.Final_18May2011	EEF2_Hackettetal2008	EGR1_Hackettetal2008	EGR1exon_Hackettetal2008	FGBint4_Hackettetal2008	FGBint5_Hackettetal2008	FGBint67_ALL	GH1_Hackettetal2008	HMGN2_Hackettetal2008	IRF2_Hackettetal2008	MB_Hackettetal2008	MUSK_Hackettetal2008	MYC_Hackettetal2008	ND2.Cl6.Final_18May2011	ND3.26May	ND4.26May	NGF_Hackettetal2008	NTF3_Hackettetal2008	ODC_Ericson_etal	PCBD1_Hackettetal2008	RAG1.Final_18May2011	RAG2.26May	RHO_Hackettetal2008	TGFB2_Hackettetal2008	TPM1_Hackettetal2008	
Dendrocolaptidae_Xiphocolaptes_promeropirhynchus								23463190					240018438					41327418			23463164	23428719				240018328							
Thamnophilidae_Rhegmatorhina_melanosticta								157098316					157098182					51104588			157094455	157098450											
Timaliidae_Actinodura_souliei	21310026				307829212			21309983										253971467			113912287					229905321		253971624					
Timaliidae_Rimator_pasquieri																												253971708					
Cotingidae_Corapipo_altera					118738533														294459482		294459518												
Muscicapidae_Cercomela_sordida								290749838										295001798			269115854												
Fringillidae_Hemispingus_atropileus				22085562		22085393		22085488													22085720												
Picidae_Celeus_flavescens								94421663						94421607							99030706												
Furnariidae_Cinclodes_nigrofumosus														156186523								51011664						221063011	221062815				
Hirundinidae_Riparia_riparia					292389538			4336154						62126127					157410828		121806685												
Ardeidae_Botaurus_lentiginosus					116876367			94983626						56131161																			
Procellariidae_Pterodroma_cahow								3929427																									
Psittacidae_Platycercus_elegans		193879566	193880172				193879252	93138958	193880798	193881111	193881430	193999602	193999950	194000360	154529233		193881816	194021062	193882092	194241154	209165325			194021389	194205306		193880482		154371718	194240830	193878665	193878956	
Scolopacidae_Tryngites_subruficollis	190411544				51101452			125662344													125662564							125662450					
Muscicapidae_Cichlherminia_lherminieri	166707735					22654393		187371254										167369805			58618503	126216033				187481163							
Pycnonotidae_Pycnonotus_brunneus					239507625			239508204						89213072							89213183	89213011									264669129		
Formicariidae_Cercomacra_cinerascens								83031300					83031521								83031388	83031212											
Prionopidae_Philentoma_pyrhoptera				125487214														60477662			60477674							87133473	87133493				
Hirundinidae_Delichon_dasypus					257154419			61189714						62126181							60858328												
